X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-82.250583,9.331017,train,1.6791761291682042E-4,61.39954358655977,0.5727032205505355
-68.354763,12.047922,train,1.780723770107154E-4,64.99064589342987,0.587006843950467
-62.687689,17.024797,train,6.0571405503030114E-5,17.636206506476558,0.3259057525270286
-86.835168,20.900389,train,5.84246585068356E-4,97.32328831721526,0.8234267084436043
-80.238469,25.056498,train,3.895832790322379E-4,92.4510608707521,0.756667118428118
-68.224552,18.529464,train,9.279042185734375E-5,38.84771054261052,0.42549852068228716
-81.421032,24.460907,train,1.594057575595675E-4,58.75193631167432,0.5599276079968301
-87.20238,20.415026,train,5.825273042244033E-4,97.260155358028,0.8229978102367892
-86.48239,15.888568,train,2.0851353683572305E-4,73.98961557155621,0.6246703446717029
-79.83888,15.82253,train,1.8435085142288574E-4,66.8304335672238,0.595381112597674
-82.759964,9.763116,train,1.613509596733532E-4,59.47193052510789,0.5629140866906582
-79.99915,15.80542,train,2.0032225545337691E-4,71.85364462823482,0.6152281762966203
-97.216431,21.446042,train,5.9254994070826894E-5,16.236921847486734,0.32109709678899184
-61.83092,16.14202,train,6.524421296908978E-5,23.669067144518575,0.3424382626172799
-87.9699,17.885,train,1.615544791604088E-4,59.53807094919143,0.5632242105077853
-68.254308,12.399854,train,1.6271278178463995E-4,59.79983413376377,0.5649808906282415
-97.373777,21.172201,train,5.176641097264184E-5,9.331949947881318,0.2923820233966926
-65.296267,18.305017,train,6.741823930625047E-5,25.549358349164347,0.3498567294775476
-67.335739,18.340378,train,7.509641182369139E-5,30.31902320279781,0.37476888322736807
-87.889893,18.278859,train,1.6531499210068867E-4,60.568615521722236,0.5688763291230324
-61.227751,15.288216,train,6.68366712660743E-5,25.09684644529689,0.3478886841620634
-96.275085,19.534577,train,4.024992402489729E-5,4.445042575063853,0.24315184765018213
-81.593484,24.588841,train,1.2002200243350915E-4,49.201863366824035,0.4892742599026591
-97.309594,21.555742,train,5.746858088185899E-5,14.406623968944494,0.31446080263329174
-86.67963,16.245396,train,2.1340619656303993E-4,75.00111454435945,0.630092288720681
-80.25897,14.45737,train,2.3988948533954304E-4,80.08248927394206,0.65691890186943
-87.630104,18.691672,train,4.093610265258952E-4,93.22516086814646,0.765668557515079
-87.603906,18.855188,train,5.11598702951903E-4,95.5531037025856,0.8032853670000082
-87.615182,18.93006,train,5.102954359982452E-4,95.51592686739782,0.8028820002576849
-87.689417,18.636036,train,4.0479260490562414E-4,93.01193197033888,0.7636489919499658
-64.468282,18.438494,train,6.305130451678323E-5,20.847917898338004,0.3347818580321751
-64.481156,18.228472,train,6.385729405203719E-5,21.932640744200363,0.3376165554704615
-64.468061,18.313503,train,6.361750228452243E-5,21.54939505938951,0.3367757260383954
-59.786197,13.116877,train,6.583957528259796E-5,24.2746790954694,0.34448660804705156
-59.645505,13.119678,train,6.492760263145862E-5,23.369705987910695,0.3413437413563715
-95.84977,19.199528,train,4.316430876928992E-5,5.2603675886835575,0.25624633536583713
-59.730617,13.053247,train,6.711467328861698E-5,25.287767960254584,0.3488309364603299
-74.568074,23.834189,train,9.977799329451529E-5,41.95566538592735,0.443335236694383
-61.145576,13.848801,train,6.87619606166096E-5,26.5894239117533,0.3543588100143215
-61.231805,15.248657,train,6.604048512695213E-5,24.466082334236848,0.3451749620094001
-68.93929,12.027329,train,2.095598598111668E-4,74.28804672372056,0.6258431773677374
-64.681668,18.260312,train,6.43334043702074E-5,22.769620159456174,0.33927973237582754
-80.489908,25.19802,train,3.77453996538837E-4,92.05187442083653,0.7507963622783576
-87.790721,17.24116,train,1.922824800104031E-4,69.76313095693634,0.6054869804547026
-65.399403,18.239335,train,6.838768449841382E-5,26.297616653887168,0.35311109096670684
-67.111991,17.9239,train,8.048074523804548E-5,33.08157656195456,0.3911295566376308
-80.0792,19.6848,train,1.7670697353712458E-4,64.59282909225789,0.5851395631469463
-82.253454,9.58223,train,2.600595304110218E-4,83.67874879563848,0.6748767949600459
-86.929655,16.05712,train,2.036762894037507E-4,72.82868433488447,0.6191512548037992
-86.304987,16.240659,train,2.1906804534319998E-4,76.27600072943615,0.6361743214481528
-87.756717,18.221959,train,2.652738868477029E-4,84.59111865530427,0.6792175278928856
-79.8389,19.7127,train,1.7484656414605833E-4,63.73577333042002,0.5825679830623152
-77.554481,26.100382,train,7.450273679421846E-5,30.046714855768933,0.3729109833125125
-68.996239,12.128578,train,2.099665273893382E-4,74.38510831512542,0.6262970390423067
-68.929445,12.001867,train,2.1119195473421316E-4,74.60648793213575,0.6276580444021733
-87.760339,18.362073,train,2.8225066515258666E-4,86.93645053733505,0.6925804413586842
-87.898289,17.21031,train,1.8477919517544936E-4,67.04104539860775,0.595940082100899
-65.5638,18.3377,train,6.764592139718573E-5,25.70964498332418,0.3506239813252379
-80.391691,25.076966,train,3.9827675019265293E-4,92.7890555885907,0.7607075409526768
-96.989028,20.764778,train,5.6660221222781416E-5,13.497279527686594,0.31141502481135136
-88.062391,16.644969,train,1.6842396589505378E-4,61.57081869947301,0.5734398803862198
-87.48054,17.292774,train,2.2875883099185114E-4,78.31231286674304,0.6461328759819953
