ID,Latitude,Longitude
coral,18.37186,-64.9864
coral,18.37836,-64.96992
coral,18.30862,-64.70665
coral,18.33216,-64.80054
coral,18.34403,-64.68713
coral,18.35045,-64.67678
coral,18.36685,-64.80989
coral,18.36071,-64.83727
coral,18.36764,-64.77394
coral,18.36923,-64.79666
coral,18.3648,-64.68922
coral,18.3549,-64.68487
coral,18.35971,-64.80083
coral,18.25923,-65.0863
coral,18.27609,-64.7574
coral,18.30285,-64.74585
coral,18.30333,-64.69241
coral,18.30431,-64.73404
coral,18.30649,-64.69244
coral,18.32792,-64.95516
coral,18.34352,-65.01825
coral,18.31949,-64.98439
coral,18.4065,-64.91251
coral,18.36486,-64.73228
coral,18.40518,-64.90871
coral,18.30459,-64.84897
coral,18.31724,-64.93944
coral,18.34548,-65.00408
coral,18.30703,-64.96628
coral,18.31433,-65.00278
coral,18.27584,-64.96782
coral,18.38051,-64.93636
coral,18.3154,-64.85239
coral,18.36205,-65.01799
coral,18.31743,-64.82829
coral,18.3783,-65.06075
coral,18.31323,-64.84244
coral,18.30807,-64.86224
coral,18.36522,-65.01708
coral,18.35051,-65.04056
coral,18.37408,-64.99069
coral,18.36753,-64.87944
coral,18.38369,-64.89002
coral,18.30032,-65.00356
coral,18.31518,-64.73131
coral,18.3458,-64.6914
coral,18.32289,-64.67746
coral,18.34395,-64.70546
coral,18.34093,-64.68095
coral,18.36272,-64.76821
coral,18.36395,-64.78147
coral,18.36486,-64.73275
coral,18.36463,-64.75782
coral,18.35571,-64.79416
coral,18.3021,-64.87211
coral,18.34329,-65.0821
coral,18.3251,-64.96554
coral,18.2701,-64.72093
coral,18.36366,-64.81269
coral,18.33722,-64.69085
coral,18.30702,-64.73454
coral,18.28415,-65.12016
coral,18.27609,-64.85245
coral,18.28904,-64.67383
coral,18.34926,-64.8064
coral,18.28187,-65.1225
coral,18.30996,-64.85375
coral,18.31916,-64.83682
coral,18.32003,-64.84061
coral,18.38902,-64.8986
coral,18.36368,-64.76207
coral,18.36382,-64.79566
coral,18.33883,-64.66295
coral,18.34509,-64.81818
coral,18.27146,-64.72
coral,18.2681,-65.10153
coral,18.28081,-64.83169
coral,18.35044,-64.67773
coral,18.35269,-64.6787
coral,18.34668,-64.79312
coral,18.34669,-64.7917
coral,18.29162,-64.88145
coral,18.26443,-64.79653
coral,18.35095,-64.67159
coral,18.27938,-64.83971
coral,18.33317,-64.68986
coral,18.33355,-64.69791
coral,18.30696,-64.7894
coral,18.36333,-64.89311
coral,18.37641,-64.98409
coral,18.34291,-64.66015
coral,18.34857,-64.78415
coral,18.34362,-64.6824
coral,18.34819,-64.67676
coral,18.34036,-64.69324
coral,18.33973,-64.66248
coral,18.34057,-64.8186
coral,18.36366,-64.81316
coral,18.29788,-64.79451
coral,18.32095,-64.83826
coral,18.30113,-64.83285
coral,18.30541,-64.85702
coral,18.33717,-64.84269
coral,18.36144,-65.03265
coral,18.36459,-65.03363
coral,18.38995,-64.89577
coral,18.34759,-64.69379
coral,18.27995,-64.82742
coral,18.33541,-64.69177
coral,18.3646,-64.65989
coral,18.23725,-64.85204
coral,18.26231,-64.87641
coral,18.38058,-65.05842
coral,18.36716,-65.00386
coral,18.36086,-64.77435
coral,18.36369,-64.7616
coral,18.36131,-64.77387
coral,18.3433,-64.81626
coral,18.30992,-64.85801
coral,18.31962,-64.78811
